fake_key,real_key,fake_path,real_path,ssim,lpips
00190_08256_00,00190_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00190_08256_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00190_00.jpg,0.8483850488096204,0.15227003395557404
00205_08296_00,00205_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00205_08296_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00205_00.jpg,0.8664588660916147,0.13927751779556274
00249_11178_00,00249_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00249_11178_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00249_00.jpg,0.8285555972183786,0.226759672164917
00254_08836_00,00254_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00254_08836_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00254_00.jpg,0.7909177369293051,0.2455255538225174
00259_01689_00,00259_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00259_01689_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00259_00.jpg,0.6898793379583266,0.2963034212589264
00260_07510_00,00260_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00260_07510_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00260_00.jpg,0.9091350330945936,0.10827363282442093
00261_03162_00,00261_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00261_03162_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00261_00.jpg,0.7744546687699505,0.22133983671665192
00272_01809_00,00272_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00272_01809_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00272_00.jpg,0.849800589916523,0.1716659814119339
00273_12365_00,00273_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00273_12365_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00273_00.jpg,0.8658515353668933,0.17283621430397034
00278_06517_00,00278_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00278_06517_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00278_00.jpg,0.803811939294818,0.19505956768989563
00286_03268_00,00286_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00286_03268_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00286_00.jpg,0.739035147240419,0.26724156737327576
00287_10410_00,00287_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00287_10410_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00287_00.jpg,0.781320066658318,0.19663402438163757
00291_06504_00,00291_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00291_06504_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00291_00.jpg,0.7757121617630744,0.2701575458049774
00311_11778_00,00311_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00311_11778_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00311_00.jpg,0.7068847428592147,0.3468596041202545
00330_00482_00,00330_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00330_00482_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00330_00.jpg,0.8699910868932887,0.15565957129001617
00339_01463_00,00339_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00339_01463_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00339_00.jpg,0.7232225603493125,0.2622680962085724
00345_03585_00,00345_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00345_03585_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00345_00.jpg,0.8220676702956932,0.16976112127304077
00348_10495_00,00348_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00348_10495_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00348_00.jpg,0.8599416912476553,0.15808455646038055
00349_01242_00,00349_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00349_01242_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00349_00.jpg,0.5762211557745109,0.4193865954875946
00373_11078_00,00373_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00373_11078_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00373_00.jpg,0.8769444254692532,0.13593381643295288
00396_03857_00,00396_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00396_03857_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00396_00.jpg,0.8036510970691985,0.20316603779792786
00397_06128_00,00397_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00397_06128_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00397_00.jpg,0.8819370067706185,0.14360620081424713
00400_03366_00,00400_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00400_03366_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00400_00.jpg,0.653358699404848,0.31310340762138367
00401_10177_00,00401_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00401_10177_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00401_00.jpg,0.8622262811424161,0.17213964462280273
00428_07068_00,00428_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00428_07068_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00428_00.jpg,0.8928838050621278,0.09473544359207153
00440_01982_00,00440_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00440_01982_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00440_00.jpg,0.8834120919622005,0.1452271044254303
00458_12082_00,00458_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00458_12082_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00458_00.jpg,0.8685089559320356,0.16407591104507446
